Prompt Type,Output #,BERTScore F1
Direct,1,0.8419980406761169
Direct,2,0.8330712914466858
Direct,3,0.8284337520599365
Scenario,1,0.8323811888694763
Scenario,2,0.8338097929954529
Scenario,3,0.8295992612838745
Persona,1,0.8345548510551453
Persona,2,0.8432801365852356
Persona,3,0.8337143063545227
Keyword,1,0.8371113538742065
Keyword,2,0.8331712484359741
Keyword,3,0.8285697102546692
Conversational,1,0.828680157661438
Conversational,2,0.830352246761322
Conversational,3,0.8396840691566467
